"Fire_State","Fire_Name","Site_Name","Severity_Class","X","Y","Fire_Date"
"CA","Caldor","Caldor1","high",-2036615,2018605,"2021-09-02"
"CA","Caldor","Caldor2","high",-2082335,2006365,"2021-08-18"
"CA","Caldor","Caldor3","high",-2066375,2011255,"2021-08-24"
"CA","Caldor","Caldor4","high",-2040275,2015515,"2021-09-02"
"CA","Caldor","Caldor5","high",-2090135,2009875,"2021-08-18"
"CA","Caldor","Caldor6","moderate",-2065355,2000515,"2021-08-30"
"CA","Caldor","Caldor7","moderate",-2095475,2001655,"2021-08-24"
"CA","Caldor","Caldor8","moderate",-2063675,2006845,"2021-08-26"
"CA","Caldor","Caldor9","moderate",-2064305,2016205,"2021-08-24"
"CA","Caldor","Caldor10","moderate",-2057495,2002855,"2021-08-30"
"CA","Caldor","Caldor11","low",-2060615,2014015,"2021-08-26"
"CA","Caldor","Caldor12","low",-2067485,2014645,"2021-08-24"
"CA","Caldor","Caldor13","low",-2078375,2016115,"2021-08-30"
"CA","Caldor","Caldor14","low",-2057555,2011945,"2021-08-30"
"CA","Caldor","Caldor15","low",-2094575,2003545,"2021-08-24"
"CA","Dixie","Dixie1","high",-2115995,2167885,"2021-07-19"
"CA","Dixie","Dixie2","high",-2064875,2178565,"2021-08-11"
"CA","Dixie","Dixie3","high",-2089205,2170795,"2021-07-24"
"CA","Dixie","Dixie4","high",-2066615,2158045,"2021-08-30"
"CA","Dixie","Dixie5","high",-2116565,2175115,"2021-07-20"
"CA","Dixie","Dixie6","moderate",-2067845,2178835,"2021-08-11"
"CA","Dixie","Dixie7","moderate",-2103755,2176765,"2021-07-25"
"CA","Dixie","Dixie8","moderate",-2104775,2180695,"2021-07-21"
"CA","Dixie","Dixie9","moderate",-2119445,2173195,"2021-07-20"
"CA","Dixie","Dixie10","moderate",-2117585,2162425,"2021-07-20"
"CA","Dixie","Dixie11","low",-2101175,2169775,"2021-08-04"
"CA","Dixie","Dixie12","low",-2106305,2183125,"2021-07-22"
"CA","Dixie","Dixie13","low",-2101925,2161105,"2021-07-28"
"CA","Dixie","Dixie14","low",-2115455,2162755,"2021-07-21"
"CA","Dixie","Dixie15","low",-2108795,2236405,"2021-09-09"
"CA","KNP","KNP1","high",-2010305,1757875,"2021-10-04"
"CA","KNP","KNP2","high",-2007335,1758235,"2021-10-04"
"CA","KNP","KNP3","high",-2003105,1745965,"2021-09-18"
"CA","KNP","KNP4","high",-2005385,1753345,"2021-10-06"
"CA","KNP","KNP5","high",-2005715,1738225,"2021-09-24"
"CA","KNP","KNP6","moderate",-1999415,1734355,"2021-09-13"
"CA","KNP","KNP7","moderate",-2003045,1740415,"2021-09-17"
"CA","KNP","KNP8","moderate",-2002175,1736935,"2021-09-15"
"CA","KNP","KNP9","moderate",-2009525,1752475,"2021-10-02"
"CA","KNP","KNP10","moderate",-2008955,1744645,"2021-10-02"
"CA","KNP","KNP11","low",-1996085,1733665,"2021-09-23"
"CA","KNP","KNP12","low",-1998335,1733185,"2021-09-22"
"CA","KNP","KNP13","low",-2009525,1748725,"2021-09-25"
"CA","KNP","KNP14","low",-2008355,1753315,"2021-10-04"
"CA","KNP","KNP15","low",-1999595,1736755,"2021-09-13"
"WA","CedarCreek","CedarCreek1","high",-1800395,3070225,"2021-07-21"
"WA","CedarCreek","CedarCreek2","high",-1795715,3058585,"2021-08-01"
"WA","CedarCreek","CedarCreek3","high",-1805765,3070465,"2021-07-21"
"WA","CedarCreek","CedarCreek4","high",-1805465,3062605,"2021-08-01"
"WA","CedarCreek","CedarCreek5","high",-1802915,3069295,"2021-07-22"
"WA","CedarCreek","CedarCreek6","moderate",-1804865,3072805,"2021-07-19"
"WA","CedarCreek","CedarCreek7","moderate",-1800065,3071545,"2021-07-21"
"WA","CedarCreek","CedarCreek8","moderate",-1803245,3065515,"2021-07-29"
"WA","CedarCreek","CedarCreek9","moderate",-1796225,3062005,"2021-07-27"
"WA","CedarCreek","CedarCreek10","moderate",-1800335,3064555,"2021-07-27"
"WA","CedarCreek","CedarCreek11","low",-1800215,3065785,"2021-07-24"
"WA","CedarCreek","CedarCreek12","low",-1795835,3063385,"2021-07-25"
"WA","CedarCreek","CedarCreek13","low",-1795655,3061105,"2021-07-27"
"WA","CedarCreek","CedarCreek14","low",-1800935,3060025,"2021-08-02"
"WA","CedarCreek","CedarCreek15","low",-1797995,3061465,"2021-07-28"
"WA","CubCreek2","CubCreek21","high",-1783205,3077965,"2021-07-20"
"WA","CubCreek2","CubCreek22","high",-1777055,3078445,"2021-07-20"
"WA","CubCreek2","CubCreek23","high",-1782485,3083875,"2021-07-20"
"WA","CubCreek2","CubCreek24","high",-1780055,3081505,"2021-07-20"
"WA","CubCreek2","CubCreek25","high",-1778105,3074515,"2021-07-20"
"WA","CubCreek2","CubCreek26","moderate",-1777595,3089785,"2021-08-06"
"WA","CubCreek2","CubCreek27","moderate",-1777715,3086665,"2021-08-05"
"WA","CubCreek2","CubCreek28","moderate",-1786595,3088405,"2021-07-27"
"WA","CubCreek2","CubCreek29","moderate",-1773365,3082405,"2021-08-01"
"WA","CubCreek2","CubCreek210","moderate",-1786385,3085765,"2021-07-27"
"WA","CubCreek2","CubCreek211","low",-1775855,3081835,"2021-07-27"
"WA","CubCreek2","CubCreek212","low",-1780235,3086095,"2021-08-13"
"WA","CubCreek2","CubCreek213","low",-1773755,3083005,"2021-08-13"
"WA","CubCreek2","CubCreek214","low",-1780655,3069475,"2021-07-20"
"WA","CubCreek2","CubCreek215","low",-1785665,3079345,"2021-07-24"
