"Fire_State","Fire_Name","Site_Name","X","Y","Fire_Date"
"CA","Caldor","Camp2",-2096765,2011765,"2021-08-27"
"CA","Caldor","Camp3",-2084855,2011525,"2021-08-18"
"CA","Caldor","American",-2068775,2014735,"2021-08-30"
"CA","Caldor","Camp1",-2099945,2010745,"2021-08-30"
"CA","Caldor","Strawberry",-2053655,2011975,"2021-08-30"
"CA","Dixie","Ward",-2068475,2160655,"2021-08-30"
"CA","Dixie","Genesee",-2066075,2162335,"2021-08-25"
"CA","Dixie","Rush",-2097905,2170315,"2021-07-23"
"CA","Dixie","Kings",-2108075,2219035,"2021-08-14"
"CA","Dixie","Yellow",-2109965,2172055,"2021-07-20"
"CA","KNP","Yucca",-2008295,1742545,"2021-09-28"
"CA","KNP","Potwisha",-2003765,1738795,"2021-09-23"
"CA","KNP","AshMountain",-2006165,1736935,"2021-09-25"
"CA","KNP","KaweahNorth",-2007305,1752595,"2021-10-04"
"CA","KNP","KaweahMiddle",-2002625,1736545,"2021-09-15"
"WA","CedarCreek","Wolf1",-1804235,3063415,"2021-08-01"
"WA","CedarCreek","Wolf3",-1798565,3062995,"2021-07-28"
"WA","CedarCreek","Cedar2",-1805225,3073675,"2021-07-19"
"WA","CedarCreek","Wolf2",-1800785,3062605,"2021-07-29"
"WA","CedarCreek","Cedar1",-1808675,3073015,"2021-07-21"
"WA","CubCreek2","LambButte",-1785335,3079915,"2021-07-24"
"WA","CubCreek2","Chewuch",-1776965,3085285,"2021-08-03"
"WA","CubCreek2","Sherwood",-1785335,3075955,"2021-07-20"
"WA","CubCreek2","Falls",-1782095,3081325,"2021-07-20"
"WA","CubCreek2","Eightmile",-1786505,3087925,"2021-07-27"
